639046.19571947|220854.10657942|117.7127155|1|1
639043.9756028|220852.43356765|117.61282373|2|1
639038.41316646|220853.2973544|117.61264699|3|1
639043.57948005|220848.7424677|117.41914214|4|1
639044.32340331|220844.36329699|117.09714254|5|1
639039.20801479|220848.86129035|117.24398039|6|1
639033.99321787|220853.44886034|117.55511551|7|1
639032.4393729|220850.71280542|117.32023635|8|1
639037.60627569|220846.1552306|117.14488856|9|1
639042.77419229|220841.59685556|116.97608923|10|1
639044.6244536|220836.43311406|116.68738069|11|1
639039.50792088|220840.93316518|116.85718462|12|1
639034.29536416|220845.51761953|117.0162543|13|1
639029.08207999|220850.10396967|117.27574595|14|1
639023.91550237|220854.65163799|117.73139347|15|1
639020.5714672|220853.65712701|117.66202082|16|1
639025.73890884|220849.09528048|117.30235834|17|1
639030.90686908|220844.53367379|116.99921344|18|1
639036.07423844|220839.97383621|116.79630449|19|1
639041.15334987|220835.54185221|120.63431046|20|1
639041.2416047|220835.41469791|116.64990383|21|2
639045.95715155|220831.4921758|135.7437347|22|1
639046.42331905|220830.83596496|115.9417689|23|2
639047.36346124|220826.00703192|115.39159673|24|1
639041.97482048|220830.84386006|123.11051775|25|1
639042.14483716|220830.6012059|115.65406495|26|2
639036.96111652|220835.17355752|116.6314119|27|1
639031.7474142|220839.76278788|116.84488767|28|1
639026.53591474|220844.34946252|117.00889659|29|1
639021.37071877|220848.89789091|117.37530287|30|1
639016.15820129|220853.48819905|117.75880581|31|1
639009.58174499|220854.74580426|118.02436222|32|1
639014.70039078|220850.22814027|117.56932862|33|1
639019.86907296|220845.666831|117.14138179|34|1
639025.02069091|220841.16748641|120.35113648|35|1
639030.20504404|220836.55255501|116.66112177|36|1
639035.37915166|220831.98759972|116.22782643|37|1
639040.54931496|220827.42933761|116.05091594|38|1
639045.73915509|220822.84417219|115.11247832|39|1
639043.371772|220820.89847727|115.12365906|40|1
639038.13561919|220825.51642744|116.11787943|41|1
639032.92113076|220830.10449735|116.25711772|42|1
639027.4367704|220835.13415487|132.53827743|43|1
639027.75454186|220834.65161444|116.49278753|44|2
639022.48073353|220839.3342369|119.98086066|45|1
639017.32713917|220843.82941236|117.01086857|46|1
639012.16028758|220848.38017024|117.51617827|47|1
639006.94836155|220852.96918284|117.90754121|48|1
639003.0684079|220852.23624243|117.88228689|49|1
639008.2827943|220847.63190295|117.39197165|50|1
639013.39432615|220843.12385432|117.35429015|51|1
639018.61214743|220838.51634151|116.85231049|52|1
639023.40093792|220834.53918755|136.29212092|53|1
639028.89996724|220829.43845079|116.28026054|54|1
639034.08957999|220824.84877166|115.13390031|55|1
639039.2865537|220820.27713523|115.92640236|56|1
639043.86648326|220816.51372653|137.66340741|57|1
639044.44082436|220815.71435976|114.44728969|58|2
639044.38943083|220811.95294622|113.96438796|59|1
639039.14116585|220816.58717637|115.31626164|60|1
639034.01152438|220821.10754487|115.92438388|61|1
639028.81274525|220825.67317549|115.29751856|62|1
639023.20493534|220830.894181|138.01415879|63|1
639018.43806322|220834.83396559|117.9719002|64|1
639013.21072135|220839.44798705|119.18275895|65|1
639008.08863555|220843.92606366|116.97274989|66|1
639002.92231994|220848.47800779|117.52402897|67|1
638997.71123155|220853.06754302|117.93025615|68|1
638994.00634008|220852.15046579|117.8734688|69|1
638999.16779019|220847.59477305|117.50438362|70|1
639004.33483357|220843.03067118|116.86069139|71|1
639009.46700764|220838.56434292|121.51028665|72|1
639014.35927187|220834.40309165|133.56395641|73|1
639014.64644362|220833.94348721|117.24831501|74|2
639019.89262657|220829.2925571|115.25228402|75|1
639025.0552932|220824.74068805|115.2720503|76|1
639030.21305496|220820.19635935|115.54812702|77|1
639035.33312475|220815.70579357|117.44807996|78|1
639040.5859546|220811.02750951|113.75936751|79|1
639045.5363449|220806.76857275|122.14703975|80|1
639045.62338203|220806.64944265|118.79411212|81|2
639045.75531554|220806.46886165|113.71164009|82|3
639045.26881335|220803.03388297|113.12065173|83|1
639040.08489396|220807.59952974|113.69045065|84|1
639034.87419876|220812.20452323|115.50329246|85|1
639029.67795024|220816.76382829|114.71622265|86|1
639024.50968166|220821.31032361|114.86245587|87|1
639019.34515511|220825.85179086|114.87153441|88|1
639014.15047026|220830.44169429|116.60484603|89|1
639008.90350551|220835.1220285|121.8367511|90|1
639003.79000212|220839.58545666|119.23565815|91|1
638998.49744555|220844.32108121|125.66021839|92|1
638998.61449853|220844.10964337|117.12008072|93|2
638993.41845516|220848.71766132|120.18565788|94|1
638988.28834744|220853.20150714|118.04094729|95|1
638984.70720416|220852.38138612|121.23353089|96|1
638989.87172333|220847.81077819|120.13727004|97|1
638995.0466663|220843.22434344|118.51653781|98|1
639000.07578216|220838.93956219|130.56055233|99|1
639000.28472587|220838.57410549|116.24830894|100|2
639005.18000988|220834.50278211|135.83221319|101|1
639005.46510106|220834.0258308|118.01626037|102|2
639010.59522324|220829.48431858|116.82583763|103|1
639015.81221455|220824.87600904|116.40192777|104|1
639021.01185845|220820.26442423|114.51479268|105|1
639026.18615385|220815.69461825|114.07079098|106|1
639031.41233385|220811.07863765|113.57346221|107|1
639036.55605909|220806.55394223|114.54773027|108|1
639041.76617761|220801.93711905|112.86848987|109|1
639046.94668952|220797.3627597|112.4821871|110|1
639047.17250744|220793.61661602|114.4766926|111|1
639041.979182|220798.17234509|113.52017233|112|1
639036.8213914|220802.702566|113.02252729|113|1
639031.63738744|220807.26967009|113.61789679|114|1
639026.42528614|220811.85109691|113.38681276|115|1
639021.23680315|220816.42711842|114.37641015|116|1
